Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
38;22.5.2014 14:03:09;00:00:01;22.5.2014 14:03:09;0,000;VAC;0,000;VAC;22.5.2014 14:03:09;0,000;VAC;;22.5.2014 14:03:10
39;22.5.2014 14:03:10;00:00:01;22.5.2014 14:03:10;0,000;VAC;0,000;VAC;22.5.2014 14:03:10;0,000;VAC;;22.5.2014 14:03:11
40;22.5.2014 14:03:11;00:00:01;22.5.2014 14:03:11;0,000;VAC;0,000;VAC;22.5.2014 14:03:11;0,000;VAC;;22.5.2014 14:03:12
41;22.5.2014 14:03:12;00:00:01;22.5.2014 14:03:12;0,000;VAC;0,000;VAC;22.5.2014 14:03:12;0,000;VAC;;22.5.2014 14:03:13
42;22.5.2014 14:03:13;00:00:01;22.5.2014 14:03:13;0,000;VAC;0,000;VAC;22.5.2014 14:03:13;0,000;VAC;;22.5.2014 14:03:14
43;22.5.2014 14:03:14;00:00:01;22.5.2014 14:03:14;0,000;VAC;0,000;VAC;22.5.2014 14:03:14;0,000;VAC;;22.5.2014 14:03:15
44;22.5.2014 14:03:15;00:00:01;22.5.2014 14:03:15;0,000;VAC;0,000;VAC;22.5.2014 14:03:15;0,000;VAC;;22.5.2014 14:03:16
45;22.5.2014 14:03:16;00:00:01;22.5.2014 14:03:16;0,000;VAC;0,000;VAC;22.5.2014 14:03:16;0,000;VAC;;22.5.2014 14:03:17
46;22.5.2014 14:03:17;00:00:01;22.5.2014 14:03:17;0,000;VAC;0,000;VAC;22.5.2014 14:03:17;0,000;VAC;;22.5.2014 14:03:18
47;22.5.2014 14:03:18;00:00:01;22.5.2014 14:03:18;0,000;VAC;0,000;VAC;22.5.2014 14:03:18;0,000;VAC;;22.5.2014 14:03:19
48;22.5.2014 14:03:19;00:00:01;22.5.2014 14:03:19;0,000;VAC;0,000;VAC;22.5.2014 14:03:19;0,000;VAC;;22.5.2014 14:03:20
49;22.5.2014 14:03:20;00:00:01;22.5.2014 14:03:20;0,000;VAC;0,000;VAC;22.5.2014 14:03:20;0,000;VAC;;22.5.2014 14:03:21
