Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
38;22.5.2014 14:03:02;00:00:01;22.5.2014 14:03:02;0,1;AAC;0,1;AAC;22.5.2014 14:03:03;0,1;AAC;;22.5.2014 14:03:03
39;22.5.2014 14:03:03;00:00:01;22.5.2014 14:03:03;0,1;AAC;0,1;AAC;22.5.2014 14:03:04;0,1;AAC;;22.5.2014 14:03:04
40;22.5.2014 14:03:04;00:00:01;22.5.2014 14:03:04;0,1;AAC;0,1;AAC;22.5.2014 14:03:04;0,1;AAC;;22.5.2014 14:03:05
41;22.5.2014 14:03:05;00:00:01;22.5.2014 14:03:05;0,1;AAC;0,1;AAC;22.5.2014 14:03:05;0,1;AAC;;22.5.2014 14:03:06
42;22.5.2014 14:03:06;00:00:01;22.5.2014 14:03:06;0,1;AAC;0,1;AAC;22.5.2014 14:03:06;0,1;AAC;;22.5.2014 14:03:07
43;22.5.2014 14:03:07;00:00:01;22.5.2014 14:03:07;0,1;AAC;0,1;AAC;22.5.2014 14:03:07;0,1;AAC;;22.5.2014 14:03:08
44;22.5.2014 14:03:08;00:00:01;22.5.2014 14:03:09;0,2;AAC;0,1;AAC;22.5.2014 14:03:08;0,1;AAC;;22.5.2014 14:03:09
45;22.5.2014 14:03:09;00:00:01;22.5.2014 14:03:09;0,2;AAC;0,1;AAC;22.5.2014 14:03:09;0,1;AAC;;22.5.2014 14:03:10
46;22.5.2014 14:03:10;00:00:01;22.5.2014 14:03:10;0,1;AAC;0,1;AAC;22.5.2014 14:03:10;0,1;AAC;;22.5.2014 14:03:11
47;22.5.2014 14:03:11;00:00:01;22.5.2014 14:03:11;0,1;AAC;0,1;AAC;22.5.2014 14:03:11;0,1;AAC;;22.5.2014 14:03:12
48;22.5.2014 14:03:12;00:00:01;22.5.2014 14:03:12;0,1;AAC;0,1;AAC;22.5.2014 14:03:12;0,1;AAC;;22.5.2014 14:03:13
49;22.5.2014 14:03:13;00:00:01;22.5.2014 14:03:14;0,1;AAC;0,1;AAC;22.5.2014 14:03:13;0,1;AAC;;22.5.2014 14:03:14
50;22.5.2014 14:03:14;00:00:01;22.5.2014 14:03:14;0,1;AAC;0,1;AAC;22.5.2014 14:03:15;0,1;AAC;;22.5.2014 14:03:15
51;22.5.2014 14:03:15;00:00:01;22.5.2014 14:03:16;0,1;AAC;0,1;AAC;22.5.2014 14:03:15;0,1;AAC;;22.5.2014 14:03:16
52;22.5.2014 14:03:16;00:00:01;22.5.2014 14:03:16;0,1;AAC;0,1;AAC;22.5.2014 14:03:16;0,1;AAC;;22.5.2014 14:03:17
53;22.5.2014 14:03:17;00:00:01;22.5.2014 14:03:17;0,1;AAC;0,1;AAC;22.5.2014 14:03:17;0,1;AAC;;22.5.2014 14:03:18
54;22.5.2014 14:03:18;00:00:01;22.5.2014 14:03:18;0,2;AAC;0,1;AAC;22.5.2014 14:03:19;0,1;AAC;;22.5.2014 14:03:19
55;22.5.2014 14:03:19;00:00:01;22.5.2014 14:03:19;0,1;AAC;0,1;AAC;22.5.2014 14:03:19;0,1;AAC;;22.5.2014 14:03:20
56;22.5.2014 14:03:20;00:00:01;22.5.2014 14:03:20;0,2;AAC;0,1;AAC;22.5.2014 14:03:20;0,1;AAC;;22.5.2014 14:03:21
57;22.5.2014 14:03:21;00:00:01;22.5.2014 14:03:21;0,1;AAC;0,1;AAC;22.5.2014 14:03:21;0,1;AAC;;22.5.2014 14:03:22
58;22.5.2014 14:03:22;00:00:01;22.5.2014 14:03:22;0,1;AAC;0,1;AAC;22.5.2014 14:03:22;0,1;AAC;;22.5.2014 14:03:23
59;22.5.2014 14:03:23;00:00:01;22.5.2014 14:03:24;0,1;AAC;0,1;AAC;22.5.2014 14:03:23;0,1;AAC;;22.5.2014 14:03:24
60;22.5.2014 14:03:24;00:00:01;22.5.2014 14:03:24;0,2;AAC;0,1;AAC;22.5.2014 14:03:24;0,1;AAC;;22.5.2014 14:03:25
61;22.5.2014 14:03:25;00:00:01;22.5.2014 14:03:25;0,2;AAC;0,1;AAC;22.5.2014 14:03:25;0,1;AAC;;22.5.2014 14:03:26
62;22.5.2014 14:03:26;00:00:01;22.5.2014 14:03:27;0,2;AAC;0,1;AAC;22.5.2014 14:03:26;0,1;AAC;;22.5.2014 14:03:27
63;22.5.2014 14:03:27;00:00:01;22.5.2014 14:03:27;0,2;AAC;0,1;AAC;22.5.2014 14:03:27;0,0;AAC;;22.5.2014 14:03:28
64;22.5.2014 14:03:28;00:00:01;22.5.2014 14:03:29;0,1;AAC;0,1;AAC;22.5.2014 14:03:28;0,0;AAC;;22.5.2014 14:03:29
65;22.5.2014 14:03:29;00:00:01;22.5.2014 14:03:29;0,1;AAC;0,1;AAC;22.5.2014 14:03:29;0,1;AAC;;22.5.2014 14:03:30
66;22.5.2014 14:03:30;00:00:01;22.5.2014 14:03:30;0,1;AAC;0,0;AAC;22.5.2014 14:03:30;0,0;AAC;;22.5.2014 14:03:31
67;22.5.2014 14:03:31;00:00:01;22.5.2014 14:03:32;0,1;AAC;0,1;AAC;22.5.2014 14:03:31;0,1;AAC;;22.5.2014 14:03:32
68;22.5.2014 14:03:32;00:00:01;22.5.2014 14:03:32;0,1;AAC;0,1;AAC;22.5.2014 14:03:33;0,0;AAC;;22.5.2014 14:03:33
69;22.5.2014 14:03:33;00:00:01;22.5.2014 14:03:33;0,1;AAC;0,1;AAC;22.5.2014 14:03:33;0,0;AAC;;22.5.2014 14:03:34
70;22.5.2014 14:03:34;00:00:01;22.5.2014 14:03:34;0,1;AAC;0,0;AAC;22.5.2014 14:03:34;0,0;AAC;;22.5.2014 14:03:35
71;22.5.2014 14:03:35;00:00:01;22.5.2014 14:03:35;0,1;AAC;0,0;AAC;22.5.2014 14:03:35;0,0;AAC;;22.5.2014 14:03:36
72;22.5.2014 14:03:36;00:00:01;22.5.2014 14:03:36;0,1;AAC;0,1;AAC;22.5.2014 14:03:36;0,0;AAC;;22.5.2014 14:03:37
73;22.5.2014 14:03:37;00:00:01;22.5.2014 14:03:37;0,1;AAC;0,1;AAC;22.5.2014 14:03:37;0,0;AAC;;22.5.2014 14:03:38
74;22.5.2014 14:03:38;00:00:01;22.5.2014 14:03:38;0,1;AAC;0,1;AAC;22.5.2014 14:03:39;0,0;AAC;;22.5.2014 14:03:39
75;22.5.2014 14:03:39;00:00:01;22.5.2014 14:03:39;0,1;AAC;0,1;AAC;22.5.2014 14:03:39;0,0;AAC;;22.5.2014 14:03:40
76;22.5.2014 14:03:40;00:00:01;22.5.2014 14:03:40;0,1;AAC;0,1;AAC;22.5.2014 14:03:41;0,0;AAC;;22.5.2014 14:03:41
77;22.5.2014 14:03:41;00:00:01;22.5.2014 14:03:41;0,1;AAC;0,1;AAC;22.5.2014 14:03:41;0,0;AAC;;22.5.2014 14:03:42
78;22.5.2014 14:03:42;00:00:01;22.5.2014 14:03:42;0,2;AAC;0,1;AAC;22.5.2014 14:03:42;0,0;AAC;;22.5.2014 14:03:43
79;22.5.2014 14:03:43;00:00:01;22.5.2014 14:03:43;0,2;AAC;0,1;AAC;22.5.2014 14:03:43;0,0;AAC;;22.5.2014 14:03:44
80;22.5.2014 14:03:44;00:00:01;22.5.2014 14:03:44;0,1;AAC;0,0;AAC;22.5.2014 14:03:44;0,0;AAC;;22.5.2014 14:03:45
81;22.5.2014 14:03:45;00:00:01;22.5.2014 14:03:45;0,1;AAC;0,1;AAC;22.5.2014 14:03:46;0,0;AAC;;22.5.2014 14:03:46
82;22.5.2014 14:03:46;00:00:01;22.5.2014 14:03:46;0,1;AAC;0,0;AAC;22.5.2014 14:03:46;0,0;AAC;;22.5.2014 14:03:47
83;22.5.2014 14:03:47;00:00:01;22.5.2014 14:03:48;0,1;AAC;0,1;AAC;22.5.2014 14:03:47;0,0;AAC;;22.5.2014 14:03:48
84;22.5.2014 14:03:48;00:00:01;22.5.2014 14:03:48;0,1;AAC;0,1;AAC;22.5.2014 14:03:48;0,0;AAC;;22.5.2014 14:03:49
85;22.5.2014 14:03:49;00:00:01;22.5.2014 14:03:49;0,1;AAC;0,0;AAC;22.5.2014 14:03:50;0,0;AAC;;22.5.2014 14:03:50
86;22.5.2014 14:03:50;00:00:01;22.5.2014 14:03:50;0,1;AAC;0,1;AAC;22.5.2014 14:03:50;0,0;AAC;;22.5.2014 14:03:51
87;22.5.2014 14:03:51;00:00:01;22.5.2014 14:03:51;0,1;AAC;0,0;AAC;22.5.2014 14:03:51;0,0;AAC;;22.5.2014 14:03:52
88;22.5.2014 14:03:52;00:00:01;22.5.2014 14:03:52;0,1;AAC;0,1;AAC;22.5.2014 14:03:52;0,0;AAC;;22.5.2014 14:03:53
89;22.5.2014 14:03:53;00:00:01;22.5.2014 14:03:53;0,1;AAC;0,1;AAC;22.5.2014 14:03:54;0,0;AAC;;22.5.2014 14:03:54
90;22.5.2014 14:03:54;00:00:01;22.5.2014 14:03:54;0,1;AAC;0,1;AAC;22.5.2014 14:03:54;0,0;AAC;;22.5.2014 14:03:55
91;22.5.2014 14:03:55;00:00:01;22.5.2014 14:03:55;0,1;AAC;0,1;AAC;22.5.2014 14:03:56;0,0;AAC;;22.5.2014 14:03:56
92;22.5.2014 14:03:56;00:00:01;22.5.2014 14:03:57;0,1;AAC;0,0;AAC;22.5.2014 14:03:56;0,0;AAC;;22.5.2014 14:03:57
93;22.5.2014 14:03:57;00:00:01;22.5.2014 14:03:58;0,1;AAC;0,0;AAC;22.5.2014 14:03:57;0,0;AAC;;22.5.2014 14:03:58
94;22.5.2014 14:03:58;00:00:01;22.5.2014 14:03:58;0,1;AAC;0,1;AAC;22.5.2014 14:03:58;0,1;AAC;;22.5.2014 14:03:59
95;22.5.2014 14:03:59;00:00:01;22.5.2014 14:03:59;0,1;AAC;0,1;AAC;22.5.2014 14:04:00;0,0;AAC;;22.5.2014 14:04:00
96;22.5.2014 14:04:00;00:00:01;22.5.2014 14:04:00;0,1;AAC;0,1;AAC;22.5.2014 14:04:00;0,0;AAC;;22.5.2014 14:04:01
97;22.5.2014 14:04:01;00:00:01;22.5.2014 14:04:01;0,1;AAC;0,1;AAC;22.5.2014 14:04:02;0,0;AAC;;22.5.2014 14:04:02
98;22.5.2014 14:04:02;00:00:01;22.5.2014 14:04:02;0,1;AAC;0,1;AAC;22.5.2014 14:04:03;0,0;AAC;;22.5.2014 14:04:03
99;22.5.2014 14:04:03;00:00:01;22.5.2014 14:04:04;0,1;AAC;0,1;AAC;22.5.2014 14:04:03;0,0;AAC;;22.5.2014 14:04:04
